state,year,exp_amo,dem_comm_exp,rep_comm_exp,dem_adv_exp,rep_adv_exp,dem_research_exp,rep_research_exp,dem_others_exp,rep_others_exp,dem_logistics_exp,rep_logistic_exp,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
AK,2012,2770679.4300000025,0.00125,0.18734546,0.16890027,2.39073702,0.0,0.00129657,8.334e-05,0.01654261,0.0,0.00452416,20.53575551999955,2.6004458200000022,40.81265911246443,54.801577397294466,2.03051,0.18547,0.85627
AK,2016,36118248.7700023,1.19059408,0.054232129999999996,18.30424069999999,15.435947340000006,0.28161284,0.0225,0.5600959000000013,0.13227215,0.05603669000000011,0.08071693999999999,20.392580209999554,15.725668560000003,36.04137265096932,50.566676570353316,1.9621,0.1868,0.91427
AK,2020,29594219.040000003,0.5927412,0.05329567000000001,16.01735888,0.10932248,0.001,0.0,0.00075205,0.0,0.0009479299999999999,0.0,0.0033869000000000004,8.18e-06,39.199327449367054,48.52279057407001,0.0,0.0,0.0
AL,2012,7077524.290000002,0.68500779,0.12158129000000001,3.06078805,2.9250830199999998,0.0,0.06430698000000001,0.08999850000000001,0.008586680000000001,0.12217198000000001,0.0,3.957966320000001,3.11955797,38.43286627932531,60.66236047669165,33.71064,12.75628,1.68896
AL,2016,1835096.7300000004,0.0,0.12522167,0.60944029,1.0751101399999998,0.0,0.0,0.0,0.02293463,0.0,0.0023899999999999998,0.60944029,1.2256564399999998,34.3580266623716,62.08300307954301,33.74106,13.01635,1.87784
AL,2020,28085542.630000018,0.7470575399999999,0.76909422,15.782765570000004,9.531822239999999,0.031117879999999997,0.08524487,0.13060526000000003,0.49614637000000006,0.43729066999999994,0.07439801,14.181629570000005,6.0264696,36.570676932506466,62.03096968799606,33.89396,13.13291,2.00498
AR,2012,7045185.860000133,0.47023847999999996,0.16653457,4.262138100000001,1.7814586999999988,0.202985,0.015,0.13056432000000054,0.0026429399999999994,0.013110459999999977,0.00051329,5.079036360000133,1.9661494999999998,36.87899030172011,60.56693608410911,23.6188,4.59418,1.30866
AR,2016,41072034.52000002,0.33477413,0.5950794000000001,16.55225392,22.965697980000005,0.0,0.07415,0.00196779,0.33403399999999955,0.0,0.2140772999999999,16.88899584,24.183038680000067,33.6751347026629,60.61372020079724,23.72809,4.69025,1.48084
AR,2020,7448990.950000003,0.17408342000000002,0.20157111999999994,4.408192369999999,2.5037312800000002,0.0,0.0,0.005,0.0,0.15641276,0.0,0.87540478,0.7922928200000002,34.77506195301496,62.39572985614432,23.85258,4.73048,1.59498
AZ,2012,44169823.729999945,0.28122119,1.5851393400000005,21.71047273,19.664587739999995,0.0,0.25112982000000006,0.07568746000000004,0.19470067,0.38040362999999994,0.026481150000000002,22.447785010000008,21.72203872,44.58976694179938,53.654533165974705,55.1886,2.98261,7.37857
AZ,2016,32215755.449999984,0.91044913,0.8085027799999998,17.912316209999993,12.2629402,0.016049410000000004,0.19933700000000004,0.02740337,0.045571679999999996,0.029634180000000003,0.00355149,18.89585229999999,13.319903149999998,44.17172989809629,47.64234489621707,57.73622,3.40938,8.26512
AZ,2020,173746258.8900001,3.4474290500000007,1.6526643099999994,79.36945086,78.53223397000004,5.68856907,0.09411719,1.38772928,1.68598631,1.7371718100000004,0.1508875,35.80695037999996,32.88897867999998,49.364690614366616,49.055981030464736,60.13442,3.76997,8.88278
CA,2012,56153281.07999995,3.7819409399999993,2.24438061,27.34195869,21.247610189999996,0.10676413000000001,0.36455525000000005,0.17207792,0.047472579999999986,0.6468892500000001,0.14756053999999993,32.04963092999998,24.051579170000014,60.23895914168964,37.1203785207048,279.87654,25.04171,74.56975
CA,2016,60649670.919999965,3.165883599999998,1.24036231,38.31026218,16.353216929999988,0.31879904000000003,0.31645741000000005,0.18455021000000005,0.21987548999999995,0.36252915,0.15681183,42.34202418000005,18.286723970000008,61.726399604557876,31.617106538439437,284.84043,25.37131,81.45943
CA,2020,149170829.75000095,8.154231010000007,1.9660508499999998,111.35844156000005,23.350977140000012,0.5568799099999999,0.075,0.9249398699999899,0.98695288,1.789493849999997,0.00786268,60.43239634999929,8.540893509999998,63.499220903450215,34.327807888313984,284.24739,25.52757,85.34727
CO,2012,46577254.97999872,0.88527947,0.8208989699999997,20.950472490000003,19.86970375,0.24831923000000006,0.09645697,1.5777360299999583,0.51165831,1.4296386999999848,0.08647015,25.091445919999817,21.385188149999987,51.49421010370086,46.1249477953789,45.7708,2.25384,3.90183
CO,2016,92461728.77000007,3.4648744199999997,2.092110639999999,42.33918132000001,37.70258956,2.49545458,0.26316674,2.3093339999999976,0.4029841599999998,1.12578914,0.26624421000000004,51.73463346000004,40.72709530999999,48.1569803828474,43.25139737143104,48.42319,2.50138,4.46758
CO,2020,63829142.780000046,2.301061189999999,0.5200480900000001,31.42139274000005,28.226102980000007,0.1401317600000001,0.65218935,0.27521084999999995,0.13567303999999997,0.11583778,0.04149500000000001,11.40439165999998,3.3806584500000003,55.400001166734675,41.89827117554352,50.06612,2.64479,4.87645
CT,2012,18448011.220000006,0.4246850599999999,0.21298681999999994,13.630292749999999,3.68684336,0.18991,0.0,0.19263927,0.00020393,0.05316032,0.05728971,14.490687400000002,3.957323819999999,58.14462568754096,40.70372894176565,29.44177,4.02512,2.47858
CT,2016,887416.64,0.00013704,0.02830363,0.6663726699999999,0.18401939,0.00211971,0.0,0.000165,0.00584328,0.00045591999999999996,0.0,0.6692503399999998,0.21816629999999998,54.56630109670987,40.92691437881478,28.86999,4.18863,2.72279
